item #,Category,Item,Qty,Supplier,Supplier_PN,Mfr,Mfr_PN,URL,unit pirce,total
1,Core / Controller,Arduino Nano 33 IoT (3.3V),1,Digi-Key,1050-ABX00027-ND,Arduino,ABX00027,https://www.digikey.com/en/products/detail/arduino/ABX00027/10239968,23.9,23.9
2,Core / ADC,ADS1220 24-bit ADC breakout,1,Digi-Key,1188-BB-ADS1220-ND,Olimex LTD,BB-ADS1220,https://www.digikey.com/en/products/detail/olimex-ltd/BB-ADS1220/21662042,18.64,18.64
3,Current Source (PoC-simple),Adjustable current source IC (TO-92),1,Digi-Key,LM334ZNS/NOPB-ND,Texas Instruments,LM334Z/NOPB,https://www.digikey.com/en/products/detail/texas-instruments/LM334Z-NOPB/6215,0.637,0.637
4,Current Source (PoC-simple),"Rset for 1.0 mA (68.1?, 0.1%)",1,Digi-Key,1712-YR1B68R1CCCT-ND,TE Connectivity Passive Product,YR1B68R1CC,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/YR1B68R1CC/2390921,0.4628,0.4628
5,Current Source (PoC-simple),"Rset for 100 µA (681?, 0.1%)",1,Digi-Key,1712-YR1B681RCCCT-ND,TE Connectivity Passive Product,YR1B681RCC,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/YR1B681RCC/2390920,0.4628,0.4628
6,Current Sense (recommended),"Shunt resistor for current monitor (100?, 0.1%)",1,Digi-Key,13-MFP-25BRD52-100RCT-ND,YAGEO,MFP-25BRD52-100R,https://www.digikey.com/en/products/detail/yageo/MFP-25BRD52-100R/2058796,0.3272,0.3272
7,Current Reversal (upgrade),"DPDT relay, 12V coil (through-hole)",1,Digi-Key,255-1002-5-ND,Panasonic Electric Works,TQ2-12V,https://www.digikey.com/en/products/detail/panasonic-electric-works/TQ2-12V/251774,2.16,2.16
8,Relay Driver,NPN transistor (TO-92),1,Digi-Key,PN2222AFS-ND,Onsemi,PN2222ABU,https://www.digikey.com/en/products/detail/onsemi/pn2222abu/6534,0.184,0.184
9,Relay Driver,Flyback diode for relay coil,1,Digi-Key,1N4148FS-ND,Onsemi,1N4148FS-ND,https://www.digikey.com/en/products/detail/onsemi/1N4148/458603,0.41,0.41
10,Relay Driver,"Base resistor (1k?, 0.1% optional; 1% OK)",2,Digi-Key,A105942CT-ND,TE Connectivity Passive Product,YR1B1K0CC,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/YR1B1K0CC/2390772,0.4568,0.9136
